Name,Passes blood-brain barrier,SMILES
Fluroxene,True,FC(F)(F)COC=C
prednisolone-acetate,True,[C@]34([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)C=C1)CC2)C)[C@H](C3)O)CC[C@@]4(C(COC(C)=O)=O)O)C
sisomicin,False,CN[C@@H]1[C@@H](O)[C@H](OC[C@]1(C)O)O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(=CC[C@H]3N)CN)[C@@H]2O
Methohexital,True,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O
9-OH-risperidone,True,c1(c2c(cc(F)cc2)on1)C1CCN(CCc2c(n3c([C@@H](CCC3)O)nc2C)=O)CC1
valtrate,True,[C@@]13([C@@H]2C(=C[C@@H]1OC(CC(C)C)=O)C(=CO[C@H]2OC(CC(C)C)=O)COC(C)=O)CO3
tetrabarbital,True,C(C1(C(CCC)CC)C(NC(=O)NC1=O)=O)C
cefadroxil,False,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(O)=O
ethinylestradiol,False,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C
cyclacillin,False,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(O)=O
cropropamide,True,C(C(N(C(\C=C\C)=O)CCC)C(N(C)C)=O)C
hydrocortisone-acetate,True,[C@]34([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)CC1)CC2)C)[C@H](C3)O)CC[C@@]4(C(COC(C)=O)=O)O)C
loteprednol(loteprednol-etabonate),True,CCOC(=O)OC3(CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C)C(=O)OCCl
piroxicillin,False,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)NC3=CN=C(NC3=O)Nc4ccc(cc4)[S](N)(=O)=O)c5ccc(O)cc5)C(=O)N2[C@H]1C(O)=O
mezlocillin,False,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(C3=O)[S](C)(=O)=O)c4ccccc4)C(=O)N2[C@H]1C(O)=O
zoloperone,True,C4=C(C3=C(CCN2CCN(C1=C(C=CC=C1)OC)CC2)OC(N3)=O)C=CC(=C4)F
velnacrine,True,C1=CC=CC2=C1C(=C3C(=N2)CCCC3O)N
Cefazolin,False,[Na+].Cc1sc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C([O-])=O)nn1
asimadoline,True,[C@H](N(C(C(C1=CC=CC=C1)C2=CC=CC=C2)=O)C)(C3=CC=CC=C3)CN4CC[C@@H](C4)O
dexoxadrol(dioxadrolandlevoxadrol),True,[C@@H]1(NCCCC1)[C@@H]2OC(OC2)(C3=CC=CC=C3)C4=CC=CC=C4
dicloxacillin,False,Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c4c(Cl)cccc4Cl
brotizolam,True,C1=C(Br)SC2=C1C(=NCC3=NN=C([N]23)C)C4=C(C=CC=C4)Cl
modafinil,True,C2=C(C(C1=CC=CC=C1)[S](CC(N)=O)=O)C=CC=C2
12,False,c1c(c(ncc1)CSCCN\C(=[NH]\C#N)NCC)Br
savoxepin,True,N#Cc5ccc4Oc1ccccc1C2=C(CCN(CC2)CC3CCCC3)c4c5
suritozole,True,C1=C(C=CC=C1C2=NN(C)C(N2C)=S)F
venlafaxine,True,C1=CC(=CC=C1C(C2(CCCCC2)O)CN(C)C)OC
meropenem,False,O.O.O.C[C@H](O)C1C2[C@@H](C)C(=C(N2C1=O)C(O)=O)S[C@@H]3CN[C@@H](C3)C(=O)N(C)C
crilvastatin,True,CC2(CC(OC(C1NC(=O)CC1)=O)CC(C2)C)C
cotinine,True,C1=CC=NC=C1C2N(C(=O)CC2)C
berupipam,True,[C@@H]4(C1=C2C(=CC(=C1)Br)CCO2)C3=C(C=C(Cl)C(=C3)O)CCN(C4)C
acetophenazine,True,CC(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(CCO)CC4)c2c1
clazolam,True,C1=C(Cl)C=CC4=C1C3C2=CC=CC=C2CCN3CC(=O)N4C
propizepine,True,C1=CC=CC2=C1N(C(C3=C(N2)N=CC=C3)=O)CC(N(C)C)C
ceforanide,False,NCc1ccccc1CC(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)CSc4nnnn4CC(O)=O
sulfasalazine,False,OC(=O)C1=C\C(C=CC1=O)=N/Nc2ccc(cc2)[S](=O)(=O)Nc3ccccn3
methotrimeprazine,True,COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1
alfadolone,True,[C@@H]12C4([C@@H](CCC1[C@H]3C(CC2=O)(C(CC3)C(=O)CO)C)C[C@H](O)CC4)C
apomorphine,True,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34
arfendazam,True,C1=C(Cl)C=CC3=C1N(C2=CC=CC=C2)C(CCN3C(OCC)=O)=O
GR94839_A,False,c1(CC(N2[C@H](CN(CC2)C(=O)C)C[N@]2CC[C@H](C2)O)=O)ccc(C(F)(F)F)cc1
butamoxane,True,C1=CC=CC2=C1OC(CNCCCC)CO2
papaverine,False,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
etaqualone,True,CCc1ccccc1N2C(=Nc3ccccc3C2=O)C
eqvalan,False,CCC(C)[C@H]1O[C@]2(CC[C@@H]1C)CC3C[C@@H](C\C=C(C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](OC5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2.CO[C@H]8CC(O[C@@H](C)[C@@H]8O)O[C@H]9[C@H](C)O[C@H](C[C@@H]9OC)O[C@H]/%10[C@@H](C)/C=C/C=C/%11CO[C@@H]%12[C@H](O)C(=C[C@@H](C(=O)OC%13C[C@@H](C\C=C%10C)O[C@@]%14(CC[C@H](C)[C@H](O%14)C(C)C)C%13)[C@]%11%12O)C
chlorphenesin-carbamate,True,C1=CC(=CC=C1OCC(COC(N)=O)O)Cl
befloxatone,True,[C@@H]2(CN(C1=CC=C(C=C1)OCC[C@H](C(F)(F)F)O)C(O2)=O)COC
compound 43,True,N1(Cc2cc(OCCCNc3nccs3)ccc2)CCCCC1
leurubicin,False,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](NC(=O)[C@@H](N)CC(C)C)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
ganciclovir,False,NC1=NC(=O)c2ncn(COC(CO)CO)c2N1
Teniposide,True,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](OC4OC5COC(OC5C(O)C4O)c6sccc6)c7cc8OCOc8cc27
GR91272,True,c1(ccc(c(c1)Cl)Cl)CC(N1[C@@H](c2c(CC1)occ2)C[N@@]1C[C@@H](CC1)O)=O
Hydrochlorothiazide,False,N[S](=O)(=O)c1cc2c(NCN[S]2(=O)=O)cc1Cl
flunisolide-acetate,True,[C@]12(OC(O[C@@H]1CC3C2(CC(O)[C@H]4C3C[C@H](F)C5=CC(=O)C=CC45C)C)(C)C)C(=O)COC(=O)C
Pindolol,True,CC(C)NCC(O)COc1cccc2[nH]ccc12
cefazaflur,False,[Na+].Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)CSC(F)(F)F)C3=O)C([O-])=O
Mianserin,True,CN1CCN2C(C1)c3ccccc3Cc4ccccc24
camphor,True,CC12C(C(CC1=O)CC2)(C)C
